[?1034hType                                  Module                      Label             Process     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTOBLowTof"   "SIM"       
vector<SimTrack>                      "g4SimHits"                 ""                "SIM"       
vector<SimVertex>                     "g4SimHits"                 ""                "SIM"       
BXVector<GlobalAlgBlk>                "hltGtStage2Digis"          ""                "HLT"       
BXVector<GlobalAlgBlk>                "simGtStage2Digis"          ""                "HLT"       
BXVector<GlobalExtBlk>                "hltGtStage2Digis"          ""                "HLT"       
BXVector<l1t::CaloCluster>            "simCaloStage2Digis"        "MP"              "HLT"       
BXVector<l1t::CaloTower>              "simCaloStage2Layer1Digis"   ""                "HLT"       
BXVector<l1t::CaloTower>              "simCaloStage2Digis"        "MP"              "HLT"       
BXVector<l1t::EGamma>                 "simCaloStage2Digis"        ""                "HLT"       
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma"          "HLT"       
BXVector<l1t::EGamma>                 "simCaloStage2Digis"        "MP"              "HLT"       
BXVector<l1t::EtSum>                  "simCaloStage2Digis"        ""                "HLT"       
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum"           "HLT"       
BXVector<l1t::EtSum>                  "simCaloStage2Digis"        "MP"              "HLT"       
BXVector<l1t::Jet>                    "simCaloStage2Digis"        ""                "HLT"       
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet"             "HLT"       
BXVector<l1t::Jet>                    "simCaloStage2Digis"        "MP"              "HLT"       
BXVector<l1t::Muon>                   "simGmtStage2Digis"         ""                "HLT"       
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon"            "HLT"       
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsBMTF"    "HLT"       
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsEMTFNeg"   "HLT"       
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsEMTFPos"   "HLT"       
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsOMTFNeg"   "HLT"       
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsOMTFPos"   "HLT"       
BXVector<l1t::RegionalMuonCand>       "simBmtfDigis"              "BMTF"            "HLT"       
BXVector<l1t::RegionalMuonCand>       "simEmtfDigis"              "EMTF"            "HLT"       
BXVector<l1t::RegionalMuonCand>       "simOmtfDigis"              "OMTF"            "HLT"       
BXVector<l1t::RegionalMuonCand>       "simBmtfDigis"              "UnsortedBMTF"    "HLT"       
BXVector<l1t::Tau>                    "simCaloStage2Digis"        ""                "HLT"       
BXVector<l1t::Tau>                    "simCaloStage2Digis"        "MP"              "HLT"       
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau"             "HLT"       
CrossingFramePlaybackInfoNew          "mix"                       ""                "HLT"       
EBDigiCollection                      "simEcalDigis"              "ebDigis"         "HLT"       
EBDigiCollection                      "hltAlCaEtaEBRechitsToDigis"   "etaEBDigis"      "HLT"       
EBDigiCollection                      "hltEcalPhiSymFilter"       "phiSymEcalDigisEB"   "HLT"       
EBDigiCollection                      "hltAlCaPi0EBRechitsToDigis"   "pi0EBDigis"      "HLT"       
EEDigiCollection                      "simEcalDigis"              "eeDigis"         "HLT"       
EEDigiCollection                      "hltAlCaEtaEERechitsToDigis"   "etaEEDigis"      "HLT"       
EEDigiCollection                      "hltEcalPhiSymFilter"       "phiSymEcalDigisEE"   "HLT"       
EEDigiCollection                      "hltAlCaPi0EERechitsToDigis"   "pi0EEDigis"      "HLT"       
ESDigiCollection                      "simEcalPreshowerDigis"     ""                "HLT"       
FEDRawDataCollection                  "hltFEDSelectorL1"          ""                "HLT"       
FEDRawDataCollection                  "hltFEDSelectorLumiPixels"   ""                "HLT"       
FEDRawDataCollection                  "rawDataCollector"          ""                "HLT"       
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "HLT"       
GlobalObjectMapRecord                 "simGtStage2Digis"          ""                "HLT"       
HcalDataFrameContainer<QIE10DataFrame>    "simHcalDigis"              "HFQIE10DigiCollection"   "HLT"       
HcalDataFrameContainer<QIE10DataFrame>    "simHcalUnsuppressedDigis"   "HFQIE10DigiCollection"   "HLT"       
HcalDataFrameContainer<QIE11DataFrame>    "simHcalDigis"              "HBHEQIE11DigiCollection"   "HLT"       
HcalDataFrameContainer<QIE11DataFrame>    "simHcalUnsuppressedDigis"   "HBHEQIE11DigiCollection"   "HLT"       
L1MuDTChambPhContainer                "simDtTriggerPrimitiveDigis"   ""                "HLT"       
L1MuDTChambThContainer                "simDtTriggerPrimitiveDigis"   ""                "HLT"       
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"       
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "hltMuonCSCDigis"           "MuonCSCALCTDigi"   "HLT"       
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"       
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "hltMuonCSCDigis"           "MuonCSCCLCTDigi"   "HLT"       
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "hltMuonCSCDigis"           "MuonCSCComparatorDigi"   "HLT"       
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "simMuonCSCDigis"           "MuonCSCComparatorDigi"   "HLT"       
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"       
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   "MPCSORTED"       "HLT"       
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "hltMuonCSCDigis"           "MuonCSCCorrelatedLCTDigi"   "HLT"       
MuonDigiCollection<CSCDetId,CSCDCCFormatStatusDigi>    "hltMuonCSCDigis"           "MuonCSCDCCFormatStatusDigi"   "HLT"       
MuonDigiCollection<CSCDetId,CSCRPCDigi>    "hltMuonCSCDigis"           "MuonCSCRPCDigi"   "HLT"       
MuonDigiCollection<CSCDetId,CSCStripDigi>    "hltMuonCSCDigis"           "MuonCSCStripDigi"   "HLT"       
MuonDigiCollection<CSCDetId,CSCStripDigi>    "simMuonCSCDigis"           "MuonCSCStripDigi"   "HLT"       
MuonDigiCollection<CSCDetId,CSCWireDigi>    "hltMuonCSCDigis"           "MuonCSCWireDigi"   "HLT"       
MuonDigiCollection<CSCDetId,CSCWireDigi>    "simMuonCSCDigis"           "MuonCSCWireDigi"   "HLT"       
MuonDigiCollection<CSCDetId,int>      "simCscTriggerPrimitiveDigis"   ""                "HLT"       
MuonDigiCollection<DTChamberId,DTLocalTrigger>    "hltMuonDTDigis"            ""                "HLT"       
MuonDigiCollection<DTLayerId,DTDigi>    "hltMuonDTDigis"            ""                "HLT"       
MuonDigiCollection<DTLayerId,DTDigi>    "simMuonDTDigis"            ""                "HLT"       
MuonDigiCollection<DTLayerId,DTDigiSimLink>    "simMuonDTDigis"            ""                "HLT"       
MuonDigiCollection<GEMDetId,GEMDigi>    "simMuonGEMDigis"           ""                "HLT"       
MuonDigiCollection<GEMDetId,GEMPadDigi>    "simMuonGEMPadDigis"        ""                "HLT"       
MuonDigiCollection<GEMDetId,GEMPadDigiCluster>    "simMuonGEMPadDigiClusters"   ""                "HLT"       
MuonDigiCollection<RPCDetId,RPCDigi>    "hltMuonRPCDigis"           ""                "HLT"       
MuonDigiCollection<RPCDetId,RPCDigi>    "simMuonRPCDigis"           ""                "HLT"       
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "HLT"       
RPCRawDataCounts                      "hltMuonRPCDigis"           ""                "HLT"       
double                                "hltScoutingCaloPacker"     "caloMetPhi"      "HLT"       
double                                "hltScoutingCaloPacker"     "caloMetPt"       "HLT"       
double                                "hltScoutingPFPacker"       "pfMetPhi"        "HLT"       
double                                "hltScoutingPFPacker"       "pfMetPt"         "HLT"       
double                                "ak4GenJets"                "rho"             "HLT"       
double                                "ak4GenJetsNoNu"            "rho"             "HLT"       
double                                "ak8GenJets"                "rho"             "HLT"       
double                                "ak8GenJetsNoNu"            "rho"             "HLT"       
double                                "hltAK4CaloJets"            "rho"             "HLT"       
double                                "hltAK4PFJets"              "rho"             "HLT"       
double                                "hltAK4PFJetsForTaus"       "rho"             "HLT"       
double                                "hltScoutingCaloPacker"     "rho"             "HLT"       
double                                "hltScoutingPFPacker"       "rho"             "HLT"       
double                                "ak4GenJets"                "sigma"           "HLT"       
double                                "ak4GenJetsNoNu"            "sigma"           "HLT"       
double                                "ak8GenJets"                "sigma"           "HLT"       
double                                "ak8GenJetsNoNu"            "sigma"           "HLT"       
double                                "hltAK4CaloJets"            "sigma"           "HLT"       
double                                "hltAK4PFJets"              "sigma"           "HLT"       
double                                "hltAK4PFJetsForTaus"       "sigma"           "HLT"       
edm::AssociationMap<edm::OneToMany<vector<L2MuonTrajectorySeed>,vector<L2MuonTrajectorySeed>,unsigned int> >    "hltL2Muons"                ""                "HLT"       
edm::AssociationMap<edm::OneToOne<vector<Trajectory>,vector<reco::GsfTrack>,unsigned short> >    "hltEgammaGsfTracks"        ""                "HLT"       
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "hltL2Muons"                ""                "HLT"       
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "hltCombinedSecondaryVertexBJetTagsCalo"   ""                "HLT"       
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "hltCombinedSecondaryVertexBJetTagsPF"   ""                "HLT"       
edm::DetSetVector<GEMDigiSimLink>     "simMuonGEMDigis"           "GEM"             "HLT"       
edm::DetSetVector<PixelDigi>          "simSiPixelDigis"           ""                "HLT"       
edm::DetSetVector<PixelDigiSimLink>    "simSiPixelDigis"           ""                "HLT"       
edm::DetSetVector<RPCDigiSimLink>     "simMuonRPCDigis"           "RPCDigiSimLink"   "HLT"       
edm::DetSetVector<SiStripDigi>        "simSiStripDigis"           "ZeroSuppressed"   "HLT"       
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "ProcessedRaw"    "HLT"       
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "ScopeMode"       "HLT"       
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "VirginRaw"       "HLT"       
edm::DetSetVector<StripDigiSimLink>    "simSiStripDigis"           ""                "HLT"       
edm::DetSetVector<StripDigiSimLink>    "simMuonGEMDigis"           "GEM"             "HLT"       
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCStripDigiSimLinks"   "HLT"       
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCWireDigiSimLinks"   "HLT"       
edm::HepMCProduct                     "generatorSmeared"          ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltDisplacedhltIter4PFlowTrackSelectionHighPurity"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltEgammaGsfTracks"        ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltFastPVPixelTracks"      ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltFastPVPixelTracksRecover"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0ElectronsTrackSelectionHighPurity"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0HighPtTkMuPixelTracks"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0HighPtTkMuTrackSelectionHighPurity"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter0PFlowTrackSelectionHighPurity"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter1Merged"            ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter1PFlowTrackSelectionHighPurity"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2HighPtTkMuMerged"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2HighPtTkMuTrackSelectionHighPurity"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2Merged"            ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2MergedForBTag"     ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2MergedForElectrons"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIter2PFlowTrackSelectionHighPurity"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL2Muons"                ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIOHit"           ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsOIHit"           ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsOIState"         ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3TkTracksFromL2"       ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3TkTracksFromL2IOHit"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3TkTracksFromL2OIHit"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3TkTracksFromL2OIState"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltMergedTracks"           ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltPFMuonMerging"          ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltPixelTracks"            ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltPixelTracksElectrons"   ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltPixelTracksMerged"      ""                "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIOHit"           "L2Seeded"        "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsOIHit"           "L2Seeded"        "HLT"       
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsOIState"         "L2Seeded"        "HLT"       
edm::RandomEngineStates               "randomEngineStateProducer"   ""                "HLT"       
edm::RangeMap<CSCDetId,edm::OwnVector<CSCRecHit2D,edm::ClonePolicy<CSCRecHit2D> >,edm::ClonePolicy<CSCRecHit2D> >    "hltCsc2DRecHits"           ""                "HLT"       
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "hltCscSegments"            ""                "HLT"       
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "hltDt4DSegments"           ""                "HLT"       
edm::RangeMap<RPCDetId,edm::OwnVector<RPCRecHit,edm::ClonePolicy<RPCRecHit> >,edm::ClonePolicy<RPCRecHit> >    "hltRpcRecHits"             ""                "HLT"       
edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> >    "hltBSoftMuonMu5L3"         ""                "HLT"       
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltTowerMakerForAll"       ""                "HLT"       
edm::SortedCollection<EBSrFlag,edm::StrictWeakOrdering<EBSrFlag> >    "simEcalDigis"              "ebSrFlags"       "HLT"       
edm::SortedCollection<EESrFlag,edm::StrictWeakOrdering<EESrFlag> >    "simEcalDigis"              "eeSrFlags"       "HLT"       
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEcalRecHit"             "EcalRecHitsEB"   "HLT"       
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEcalRecHit"             "EcalRecHitsEE"   "HLT"       
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaEtaRecHitsFilterEEonlyRegional"   "etaEcalRecHitsES"   "HLT"       
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltAlCaPi0RecHitsFilterEEonlyRegional"   "pi0EcalRecHitsES"   "HLT"       
edm::SortedCollection<EcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<EcalTriggerPrimitiveDigi> >    "simEcalTriggerPrimitiveDigis"   ""                "HLT"       
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "simHcalDigis"              ""                "HLT"       
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"       
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "hltHbhereco"               ""                "HLT"       
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "simHcalDigis"              ""                "HLT"       
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"       
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "hltHfreco"                 ""                "HLT"       
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "simHcalDigis"              ""                "HLT"       
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"       
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "hltHoreco"                 ""                "HLT"       
edm::SortedCollection<HcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<HcalTriggerPrimitiveDigi> >    "simHcalTriggerPrimitiveDigis"   ""                "HLT"       
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"       
edm::TriggerResults                   "TriggerResults"            ""                "HLT"       
edm::ValueMap<float>                  "hltDisplacedhltIter4PFlowTrackSelectionHighPurity"   "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltFastPVPixelTracksMerger"   "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltIter0ElectronsTrackSelectionHighPurity"   "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltIter0HighPtTkMuTrackSelectionHighPurity"   "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltIter1Merged"            "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltIter2HighPtTkMuMerged"   "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltIter2HighPtTkMuTrackSelectionHighPurity"   "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltIter2Merged"            "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltIter2MergedForBTag"     "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltIter2MergedForElectrons"   "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltL3TkTracksFromL2"       "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltMergedTracks"           "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltPFMuonMerging"          "MVAVals"         "HLT"       
edm::ValueMap<float>                  "hltPixelTracksMerged"      "MVAVals"         "HLT"       
edmNew::DetSetVector<SiPixelCluster>    "hltSiPixelClusters"        ""                "HLT"       
edmNew::DetSetVector<SiStripCluster>    "hltSiStripRawToClustersFacility"   ""                "HLT"       
float                                 "hltFastPrimaryVertex"      ""                "HLT"       
float                                 "genParticles"              "t0"              "HLT"       
int                                   "addPileupInfo"             "bunchSpacing"    "HLT"       
reco::BeamSpot                        "hltOnlineBeamSpot"         ""                "HLT"       
vector<DcsStatus>                     "hltScalersRawToDigi"       ""                "HLT"       
vector<L1CaloRegion>                  "simCaloStage2Layer1Digis"   ""                "HLT"       
vector<L1MuBMTrack>                   "simBmtfDigis"              "BMTF"            "HLT"       
vector<L1MuBMTrackSegEta>             "simBmtfDigis"              "BMTF"            "HLT"       
vector<L1MuBMTrackSegPhi>             "simBmtfDigis"              "BMTF"            "HLT"       
vector<L2MuonTrajectorySeed>          "hltL2MuonSeeds"            ""                "HLT"       
vector<L3MuonTrajectorySeed>          "hltL3TrajSeedIOHit"        ""                "HLT"       
vector<L3MuonTrajectorySeed>          "hltL3TrajSeedOIHit"        ""                "HLT"       
vector<L3MuonTrajectorySeed>          "hltL3TrajSeedOIState"      ""                "HLT"       
vector<L3MuonTrajectorySeed>          "hltL3TrajectorySeed"       ""                "HLT"       
vector<LumiScalers>                   "hltScalersRawToDigi"       ""                "HLT"       
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "HLT"       
vector<ScoutingCaloJet>               "hltScoutingCaloPacker"     ""                "HLT"       
vector<ScoutingElectron>              "hltScoutingEgammaPacker"   ""                "HLT"       
vector<ScoutingMuon>                  "hltScoutingMuonPacker"     ""                "HLT"       
vector<ScoutingMuon>                  "hltScoutingMuonPackerCalo"   ""                "HLT"       
vector<ScoutingPFJet>                 "hltScoutingPFPacker"       ""                "HLT"       
vector<ScoutingParticle>              "hltScoutingPFPacker"       ""                "HLT"       
vector<ScoutingPhoton>                "hltScoutingEgammaPacker"   ""                "HLT"       
vector<ScoutingVertex>                "hltScoutingMuonPacker"     "displacedVtx"    "HLT"       
vector<ScoutingVertex>                "hltScoutingMuonPackerCalo"   "displacedVtx"    "HLT"       
vector<ScoutingVertex>                "hltScoutingPrimaryVertexPacker"   "primaryVtx"      "HLT"       
vector<ScoutingVertex>                "hltScoutingPrimaryVertexPackerCaloMuon"   "primaryVtx"      "HLT"       
vector<TrackCandidate>                "hltL3TrackCandidateFromL2IOHit"   ""                "HLT"       
vector<TrackCandidate>                "hltL3TrackCandidateFromL2OIHit"   ""                "HLT"       
vector<TrackCandidate>                "hltL3TrackCandidateFromL2OIState"   ""                "HLT"       
vector<TrackingParticle>              "mix"                       "MergedTrackTruth"   "HLT"       
vector<TrackingVertex>                "mix"                       "MergedTrackTruth"   "HLT"       
vector<double>                        "ak4GenJets"                "rhos"            "HLT"       
vector<double>                        "ak4GenJetsNoNu"            "rhos"            "HLT"       
vector<double>                        "ak8GenJets"                "rhos"            "HLT"       
vector<double>                        "ak8GenJetsNoNu"            "rhos"            "HLT"       
vector<double>                        "hltAK4CaloJets"            "rhos"            "HLT"       
vector<double>                        "hltAK4PFJets"              "rhos"            "HLT"       
vector<double>                        "hltAK4PFJetsForTaus"       "rhos"            "HLT"       
vector<double>                        "ak4GenJets"                "sigmas"          "HLT"       
vector<double>                        "ak4GenJetsNoNu"            "sigmas"          "HLT"       
